"Site";"Rio";"Segmento";"Ponto_N";"Bacia";"Trecho";"Habitat";"Data";"Data_txt";"Coleta";"Ponto";"Ref_site";"Especie";"Compr.total_mm";"Compr.padrao_mm";"Altura_mm";"Peso_mg";"Peso_g";"RPC";"Observação.(*)";"Amostra_tipo";"Etiqueta1";"Etiqueta2";"No._Peixe1";"Etiqueta3";"No._Peixe2";"Peso_epp_g";"Peso_úmido_g";"Peso_brânquia_mg";"Fluorescência_rfu_T1";"Fluorescência_rfu_T2";"Fluorescência_rfu_T3";"Fluorescência_rfu_M";"Rodamina_rfu_mg";"Peso_epp_brânquias_g";"Peso_epp_úmido_brânquias_g";"Peso_epp_seco_brânquias_mg";"Peso_úmido_brânquias_mg";"Peso_seco_brânquias_mg";"TH_branquia";"TH_branquia_p";"Peso_epp_músculo_g";"Peso_epp_úmido_músculo_g";"Peso_epp_seco_músculo_mg";"Peso_úmido_músculo_mg";"Peso_seco_músculo_mg";"TH_musculo";"TH_musculo_p";"Proteinas_Totais_mg"
"3-5-5";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";30.5;25.6;10;370;0.37;0.0363934426229508;NA;"rd";"3-5-5";"3-5-5";"P5";"3-5-5";"P5";0.9134;0.9367;23.3;441968;488506;464912;465128.666666667;19962.6037195994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-6";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";18;16.6;6.1;110;0.11;0.0183333333333333;NA;"rd";"3-5-6";"3-5-6";"P6";"3-5-6";"P6";0.9222;0.9264;4.19999999999998;295265;280709;285799;287257.666666667;68394.6825396828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-7";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";19.8;17.7;6;95;0.095;0.0143939393939394;NA;"rd";"3-5-7";"3-5-7";"P7";"3-5-7";"P7";0.9343;0.9388;4.49999999999995;276034;328860;289566;298153.333333333;66256.296296297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-8";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";26.6;22.2;8.3;220;0.22;0.024812030075188;NA;"rd";"3-5-8";"3-5-8";"P8";"3-5-8";"P8";0.9097;0.9175;7.80000000000003;273350;263885;254570;263935;33837.8205128204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-9";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";26.1;22.2;7.2;192;0.192;0.0220689655172414;NA;"rd";"3-5-9";"3-5-9";"P9";"3-5-9";"P9";0.9119;0.9186;6.69999999999993;286191;280612;288015;284939.333333333;42528.2587064681;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-10";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";26.1;22.2;8;197;0.197;0.0226436781609195;NA;"rd";"3-5-10";"3-5-10";"P10";"3-5-10";"P10";0.9204;0.9273;6.90000000000002;344717;354754;335233;344901.333333333;49985.7004830917;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-11";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";25.2;21.6;8.2;211;0.211;0.0251190476190476;NA;"rd";"3-5-11";"3-5-11";"P11";"3-5-11";"P11";0.9131;0.9216;8.49999999999995;285992;301265;304861;297372.666666667;34985.0196078433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-12";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";25.4;23.3;8.4;248;0.248;0.0292913385826772;NA;"rd";"3-5-12";"3-5-12";"P12";"3-5-12";"P12";0.9159;0.9252;9.29999999999998;371616;381711;372312;375213;40345.4838709678;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-13";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";29.1;22.7;8.3;233;0.233;0.024020618556701;NA;"rd";"3-5-13";"3-5-13";"P13";"3-5-13";"P13";0.912;0.922;10;340551;376990;383779;367106.666666667;36710.6666666666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3-5-14";"B-P05";"Barro Branco";"BarroBranco1";"Ponto5";"Barro Branco";"Barro Branco Médio";"Rio";45231;"11/10/2023";2;5;1;"Hemigrammus unilineatus";24.4;32.1;9.8;269;0.269;0.0330737704918033;NA;"rd";"3-5-14";"3-5-14";"P14";"3-5-14";"P14";1.1086;1.1209;12.3;297407;298116;333865;309796;25186.6666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
